Servo Motion,Servo Position,Flex Value,EMG Value,EMG Voltage
Finger Opening,90,410,985,4814.27
Finger Closing,90,410,984,4809.38
Finger Closing,91,410,984,4809.38
Finger Closing,92,410,985,4814.27
Finger Closing,93,409,984,4809.38
Finger Closing,94,409,984,4809.38
Finger Closing,95,408,984,4809.38
Finger Closing,96,407,984,4809.38
Finger Closing,97,406,984,4809.38
Finger Closing,98,405,984,4809.38
Finger Closing,99,405,985,4814.27
Finger Closing,100,404,984,4809.38
Finger Closing,101,404,984,4809.38
Finger Closing,102,404,984,4809.38
Finger Closing,103,404,983,4804.5
Finger Closing,104,404,984,4809.38
Finger Closing,105,403,984,4809.38
Finger Closing,106,401,902,4408.6
Finger Closing,107,401,984,4809.38
Finger Closing,108,400,865,4227.76
Finger Closing,109,398,838,4095.8
Finger Closing,110,400,829,4051.81
Finger Closing,111,395,904,4418.38
Finger Closing,112,394,877,4286.41
Finger Closing,113,393,846,4134.9
Finger Closing,114,390,984,4809.38
Finger Closing,115,386,984,4809.38
Finger Closing,116,383,984,4809.38
Finger Closing,117,381,984,4809.38
Finger Closing,118,378,984,4809.38
Finger Closing,119,374,984,4809.38
Finger Closing,120,372,984,4809.38
Finger Closing,121,368,984,4809.38
Finger Closing,122,365,984,4809.38
Finger Closing,123,364,984,4809.38
Finger Closing,124,359,984,4809.38
Finger Closing,125,355,984,4809.38
Finger Closing,126,353,984,4809.38
Finger Closing,127,352,983,4804.5
Finger Closing,128,351,984,4809.38
Finger Closing,129,347,984,4809.38
Finger Closing,130,346,983,4804.5
Finger Closing,131,345,984,4809.38
