Servo Motion,Servo Position,Flex Sensor Value,EMG Sensor Value,EMG Sensor Voltage
Finger Closing,158,340,32,156.4
Finger Closing,159,341,33,161.29
Finger Closing,160,338,30,146.63
Finger Closing,161,336,32,156.4
Finger Closing,162,335,32,156.4
Finger Closing,163,334,30,146.63
Finger Closing,164,333,31,151.52
Finger Closing,165,332,50,244.38
Finger Closing,166,331,56,273.7
Finger Closing,167,329,49,239.49
Finger Closing,168,324,37,180.84
Finger Closing,169,327,34,166.18
Finger Closing,170,326,30,146.63
Finger Opening,170,324,30,146.63
Finger Opening,169,324,29,141.74
Finger Opening,168,324,27,131.96
Finger Opening,167,323,31,151.52
Finger Opening,166,322,32,156.4
Finger Opening,165,322,30,146.63
Finger Opening,164,322,30,146.63
Finger Opening,163,323,31,151.52
Finger Opening,162,323,63,307.92
Finger Opening,161,310,62,303.03
Finger Opening,160,325,67,327.47
Finger Opening,159,325,63,307.92
Finger Opening,158,327,85,415.44
Finger Opening,157,328,77,376.34
Finger Opening,156,328,111,542.52
Finger Opening,155,329,97,474.1
Finger Opening,154,330,186,909.09
Finger Opening,153,330,147,718.48
Finger Opening,152,332,235,1148.58
Finger Opening,151,333,184,899.32
Finger Opening,150,334,198,967.74
Finger Opening,149,336,154,752.69
Finger Opening,148,337,156,762.46
Finger Opening,147,339,135,659.82
Finger Opening,146,341,151,738.03
Finger Opening,145,344,129,630.5
Finger Opening,144,345,143,698.92
Finger Opening,143,346,113,552.3
Finger Opening,142,352,153,747.8
Finger Opening,141,349,124,606.06
Finger Opening,140,349,127,620.72
Finger Opening,139,350,118,576.74
Finger Opening,138,351,109,532.75
Finger Opening,137,351,144,703.81
Finger Opening,136,351,128,625.61
Finger Opening,135,356,168,821.11
Finger Opening,134,361,137,669.6
Finger Opening,133,358,148,723.36
Finger Opening,132,359,123,601.17
Finger Opening,131,361,130,635.39
Finger Opening,130,362,111,542.52
Finger Opening,129,362,147,718.48
Finger Opening,128,363,129,630.5
Finger Opening,127,364,131,640.27
Finger Opening,126,363,116,566.96
Finger Opening,125,369,120,586.51
Finger Opening,124,372,104,508.31
Finger Opening,123,374,98,478.98
Finger Opening,122,375,103,503.42
Finger Opening,121,377,97,474.1
Finger Opening,120,378,103,503.42
Finger Opening,119,378,92,449.66
Finger Opening,118,380,86,420.33
Finger Opening,117,380,84,410.56
Finger Opening,116,381,73,356.79
Finger Opening,115,381,68,332.36
Finger Opening,114,382,69,337.24
Finger Opening,113,382,74,361.68
Finger Opening,112,383,71,347.02
Finger Opening,111,385,66,322.58
Finger Opening,110,384,67,327.47
Finger Opening,109,386,67,327.47
Finger Opening,108,388,68,332.36
Finger Opening,107,388,62,303.03
Finger Opening,106,389,55,268.82
Finger Opening,105,391,81,395.89
Finger Opening,104,393,67,327.47
Finger Opening,103,393,119,581.62
Finger Opening,102,394,96,469.21
Finger Opening,101,396,131,640.27
Finger Opening,100,396,98,478.98
Finger Opening,99,397,130,635.39
Finger Opening,98,398,98,478.98
Finger Opening,97,398,126,615.84
Finger Opening,96,399,93,454.55
Finger Opening,95,399,90,439.88
Finger Opening,94,399,71,347.02
Finger Opening,93,400,70,342.13
Finger Opening,92,400,60,293.26
Finger Opening,91,401,84,410.56
Finger Opening,90,402,70,342.13
Finger Closing,90,402,84,410.56
Finger Closing,91,403,67,327.47
Finger Closing,92,403,73,356.79
Finger Closing,93,404,62,303.03
Finger Closing,94,405,51,249.27
Finger Closing,95,407,48,234.6
Finger Closing,96,408,43,210.17
Finger Closing,97,409,44,215.05
Finger Closing,98,410,54,263.93
Finger Closing,99,411,52,254.15
Finger Closing,100,411,45,219.94
Finger Closing,101,411,45,219.94
Finger Closing,102,412,41,200.39
Finger Closing,103,412,41,200.39
Finger Closing,104,411,37,180.84
Finger Closing,105,412,38,185.73
Finger Closing,106,411,33,161.29
Finger Closing,107,410,31,151.52
Finger Closing,108,405,34,166.18
Finger Closing,109,399,34,166.18
Finger Closing,110,400,33,161.29
Finger Closing,111,397,44,215.05
Finger Closing,112,397,40,195.5
Finger Closing,113,399,39,190.62
Finger Closing,114,398,48,234.6
Finger Closing,115,398,41,200.39
Finger Closing,116,398,48,234.6
Finger Closing,117,398,37,180.84
Finger Closing,118,397,34,166.18
Finger Closing,119,398,31,151.52
Finger Closing,120,398,33,161.29
Finger Closing,121,395,33,161.29
Finger Closing,122,394,35,171.07
Finger Closing,123,394,33,161.29
Finger Closing,124,388,30,146.63
Finger Closing,125,390,25,122.19
Finger Closing,126,390,40,195.5
Finger Closing,127,387,34,166.18
Finger Closing,128,381,55,268.82
Finger Closing,129,385,46,224.83
Finger Closing,130,382,75,366.57
Finger Closing,131,380,67,327.47
Finger Closing,132,382,75,366.57
Finger Closing,133,373,60,293.26
Finger Closing,134,385,63,307.92
Finger Closing,135,386,55,268.82
Finger Closing,136,386,46,224.83
Finger Closing,137,384,42,205.28
Finger Closing,138,383,39,190.62
Finger Closing,139,381,37,180.84
Finger Closing,140,379,36,175.95
Finger Closing,141,377,40,195.5
Finger Closing,142,373,61,298.14
Finger Closing,143,371,63,307.92
Finger Closing,144,365,106,518.08
Finger Closing,145,363,86,420.33
Finger Closing,146,361,126,615.84
Finger Closing,147,359,140,684.26
Finger Closing,148,356,205,1001.96
Finger Closing,149,353,290,1417.4
Finger Closing,150,344,318,1554.25
Finger Closing,151,349,359,1754.64
Finger Closing,152,347,325,1588.47
Finger Closing,153,344,247,1207.23
Finger Closing,154,340,215,1050.83
Finger Closing,155,338,192,938.42
Finger Closing,156,335,173,845.55
Finger Closing,157,332,164,801.56
Finger Closing,158,329,157,767.35
Finger Closing,159,327,131,640.27
Finger Closing,160,325,125,610.95
Finger Closing,161,323,98,478.98
Finger Closing,162,324,98,478.98
Finger Closing,163,323,89,435
Finger Closing,164,323,89,435
Finger Closing,165,323,82,400.78
Finger Closing,166,325,85,415.44
Finger Closing,167,325,94,459.43
Finger Closing,168,325,80,391.01
Finger Closing,169,326,70,342.13
Finger Closing,170,326,65,317.69
Finger Opening,170,327,53,259.04
Finger Opening,169,326,47,229.72
Finger Opening,168,328,42,205.28
Finger Opening,167,327,43,210.17
Finger Opening,166,327,38,185.73
Finger Opening,165,328,38,185.73
Finger Opening,164,328,42,205.28
Finger Opening,163,328,37,180.84
Finger Opening,162,328,38,185.73
Finger Opening,161,329,43,210.17
Finger Opening,160,332,58,283.48
Finger Opening,159,331,69,337.24
Finger Opening,158,333,128,625.61
Finger Opening,157,329,120,586.51
Finger Opening,156,337,112,547.41
Finger Opening,155,338,91,444.77
Finger Opening,154,337,80,391.01
Finger Opening,153,337,85,415.44
Finger Opening,152,338,99,483.87
Finger Opening,151,339,98,478.98
Finger Opening,150,339,94,459.43
Finger Opening,149,340,110,537.63
Finger Opening,148,341,87,425.22
Finger Opening,147,342,107,522.97
Finger Opening,146,344,96,469.21
Finger Opening,145,344,109,532.75
Finger Opening,144,342,94,459.43
Finger Opening,143,332,97,474.1
Finger Opening,142,349,129,630.5
Finger Opening,141,348,118,576.74
Finger Opening,140,351,177,865.1
Finger Opening,139,352,157,767.35
Finger Opening,138,353,204,997.07
Finger Opening,137,354,179,874.88
Finger Opening,136,355,272,1329.42
Finger Opening,135,356,236,1153.47
Finger Opening,134,358,222,1085.04
Finger Opening,133,359,177,865.1
Finger Opening,132,360,202,987.29
Finger Opening,131,363,165,806.45
Finger Opening,130,365,196,957.97
Finger Opening,129,366,165,806.45
Finger Opening,128,367,146,713.59
Finger Opening,127,367,166,811.34
Finger Opening,126,368,166,811.34
Finger Opening,125,366,264,1290.32
Finger Opening,124,368,233,1138.81
Finger Opening,123,377,322,1573.8
Finger Opening,122,370,270,1319.65
Finger Opening,121,371,300,1466.28
Finger Opening,120,375,247,1207.23
Finger Opening,119,375,257,1256.11
Finger Opening,118,378,227,1109.48
Finger Opening,117,377,243,1187.68
Finger Opening,116,379,244,1192.57
Finger Opening,115,381,277,1353.86
Finger Opening,114,384,230,1124.14
Finger Opening,113,384,221,1080.16
Finger Opening,112,385,221,1080.16
Finger Opening,111,386,226,1104.59
Finger Opening,110,388,208,1016.62
Finger Opening,109,388,187,913.98
Finger Opening,108,390,183,894.43
Finger Opening,107,388,192,938.42
Finger Opening,106,388,235,1148.58
Finger Opening,105,391,188,918.87
Finger Opening,104,389,224,1094.82
Finger Opening,103,390,207,1011.73
Finger Opening,102,393,228,1114.37
Finger Opening,101,391,198,967.74
Finger Opening,100,393,178,869.99
Finger Opening,99,396,196,957.97
Finger Opening,98,396,210,1026.39
Finger Opening,97,404,174,850.44
Finger Opening,96,399,171,835.78
Finger Opening,95,399,180,879.77
Finger Opening,94,404,152,742.91
Finger Opening,93,408,159,777.13
Finger Opening,92,409,135,659.82
Finger Opening,91,409,157,767.35
